Accession,Virus_name,Virus_genus,Virus_family
NC_007192.1,Lily virus X,Potexvirus,Alphaflexiviridae
NC_007408.1,Potexvirus ecsalstroemeriae,Potexvirus,Alphaflexiviridae
NC_007679.1,Nerine virus X,Potexvirus,Alphaflexiviridae
NC_007731.1,Potexvirus alternantherae,Potexvirus,Alphaflexiviridae
NC_008251.1,Malva mosaic virus,Potexvirus,Alphaflexiviridae
NC_010295.1,Phaius virus X,Potexvirus,Alphaflexiviridae
NC_010416.1,Asparagus virus 3,Potexvirus,Alphaflexiviridae
NC_010832.1,Lettuce virus X,Potexvirus,Alphaflexiviridae
NC_011544.1,Hosta virus X,Potexvirus,Alphaflexiviridae
NC_011620.1,Potato virus X,Potexvirus,Alphaflexiviridae
NC_011659.1,Schlumbergera virus X,Potexvirus,Alphaflexiviridae
NC_012211.2,Potexvirus ecsallii,Potexvirus,Alphaflexiviridae
NC_002815.2,Cactus virus X,Potexvirus,Alphaflexiviridae
NC_003093.1,Indian citrus ringspot virus,Potexvirus,Alphaflexiviridae
NC_003632.1,Potato aucuba mosaic virus,Potexvirus,Alphaflexiviridae
NC_003794.1,Strawberry mild yellow edge virus,Potexvirus,Alphaflexiviridae
NC_003820.1,White clover mosaic virus,Potexvirus,Alphaflexiviridae
NC_003849.1,Plantago asiatica mosaic virus,Potexvirus,Alphaflexiviridae
NC_004067.1,Pepino mosaic virus,Potexvirus,Alphaflexiviridae
NC_004322.1,Tulip virus X,Potexvirus,Alphaflexiviridae
NC_001642.1,Bamboo mosaic virus,Potexvirus,Alphaflexiviridae
NC_001658.1,Cassava common mosaic virus,Potexvirus,Alphaflexiviridae
NC_001748.1,Papaya mosaic virus,Potexvirus,Alphaflexiviridae
NC_001753.1,Clover yellow mosaic virus,Potexvirus,Alphaflexiviridae
NC_001812.1,Cymbidium mosaic virus,Potexvirus,Alphaflexiviridae
NC_001441.1,Narcissus mosaic virus,Potexvirus,Alphaflexiviridae
NC_001483.1,Foxtail mosaic virus,Potexvirus,Alphaflexiviridae
NC_076603.1,Cherry virus B,Quinvirinae,Betaflexiviridae
NC_076633.1,Shallot virus S,Quinvirinae,Betaflexiviridae
NC_076638.1,Birch carlavirus,Quinvirinae,Betaflexiviridae
NC_076711.1,Papaya mild mottle associated virus,Quinvirinae,Betaflexiviridae
NC_076712.1,papaya mottle-associated virus,Quinvirinae,Betaflexiviridae
NC_076716.1,Rose virus A,Quinvirinae,Betaflexiviridae
NC_076865.1,Rubus virus 1,Quinvirinae,Betaflexiviridae
NC_076917.1,Soybean carlavirus 1,Quinvirinae,Betaflexiviridae
NC_077021.1,Cactus carlavirus 1,Quinvirinae,Betaflexiviridae
NC_077022.1,Cactus carlavirus 2,Quinvirinae,Betaflexiviridae
NC_077040.1,Grapevine foveavirus A,Quinvirinae,Betaflexiviridae
NC_077052.1,Aconite virus A,Quinvirinae,Betaflexiviridae
NC_077056.1,Camellia ringspot associated virus 4,Quinvirinae,Betaflexiviridae
NC_077068.1,Rose virus B,Quinvirinae,Betaflexiviridae
NC_077071.1,Clivia carlavirus A,Quinvirinae,Betaflexiviridae
NC_077096.1,Agapanthus carlavirus B,Quinvirinae,Betaflexiviridae
NC_077162.1,Musa ornata-associated banmivirus,Quinvirinae,Betaflexiviridae
NC_116567.1,Cole mild mosaic virus,Quinvirinae,Betaflexiviridae
NC_116571.1,Stevia carlavirus 1,Quinvirinae,Betaflexiviridae
NC_117258.1,Blueberry virus S,Quinvirinae,Betaflexiviridae
NC_117364.1,Pseudostellaria heterophylla carlavirus 1,Quinvirinae,Betaflexiviridae
NC_117365.1,Pseudostellaria heterophylla carlavirus 2,Quinvirinae,Betaflexiviridae
NC_117366.1,Pseudostellaria heterophylla carlavirus 3,Quinvirinae,Betaflexiviridae
NC_136443.1,Prunus mume chlorotic leaf curl-associated virus,Quinvirinae,Betaflexiviridae
NC_034376.1,Pepper virus A,Quinvirinae,Betaflexiviridae
NC_038322.1,Cole latent virus,Quinvirinae,Betaflexiviridae
NC_038323.1,Helenium virus S,Quinvirinae,Betaflexiviridae
NC_038324.1,Melon yellowing-associated virus,Quinvirinae,Betaflexiviridae
NC_038865.1,Carnation latent virus,Quinvirinae,Betaflexiviridae
NC_038966.1,Atractylodes mottle virus,Quinvirinae,Betaflexiviridae
NC_040703.1,Chrysanthemum virus R,Quinvirinae,Betaflexiviridae
NC_043080.1,Caper latent virus,Quinvirinae,Betaflexiviridae
NC_043081.1,Cucumber vein-clearing virus,Quinvirinae,Betaflexiviridae
NC_043082.1,Helleborus mosaic virus,Quinvirinae,Betaflexiviridae
NC_043083.1,Phlox virus M,Quinvirinae,Betaflexiviridae
NC_043084.1,Sint-Jan onion latent virus,Quinvirinae,Betaflexiviridae
NC_043085.1,Verbena latent virus,Quinvirinae,Betaflexiviridae
NC_043086.1,Banana virus X,Quinvirinae,Betaflexiviridae
NC_018175.1,Potato virus H,Quinvirinae,Betaflexiviridae
NC_018448.1,Sweet potato C6 virus,Quinvirinae,Betaflexiviridae
NC_018714.1,Apple green crinkle associated virus,Quinvirinae,Betaflexiviridae
NC_019025.1,Rubus canadensis virus 1,Quinvirinae,Betaflexiviridae
NC_020996.1,Cherry rusty mottle associated virus,Quinvirinae,Betaflexiviridae
NC_023892.1,Gaillardia latent virus,Quinvirinae,Betaflexiviridae
NC_024449.1,Cherry twisted leaf associated virus,Quinvirinae,Betaflexiviridae
NC_025388.1,Asian prunus virus 1,Quinvirinae,Betaflexiviridae
NC_026616.2,Alfalfa latent virus,Quinvirinae,Betaflexiviridae
NC_027527.1,Pea streak virus,Quinvirinae,Betaflexiviridae
NC_028111.1,Nerine latent virus,Quinvirinae,Betaflexiviridae
NC_028868.1,Asian prunus virus 2,Quinvirinae,Betaflexiviridae
NC_028975.1,Asian prunus virus 3,Quinvirinae,Betaflexiviridae
NC_029085.1,Elderberry carlavirus A,Quinvirinae,Betaflexiviridae
NC_029086.1,Elderberry carlavirus B,Quinvirinae,Betaflexiviridae
NC_029087.1,Elderberry carlavirus C,Quinvirinae,Betaflexiviridae
NC_029088.1,Elderberry carlavirus D,Quinvirinae,Betaflexiviridae
NC_029089.1,Elderberry carlavirus E,Quinvirinae,Betaflexiviridae
NC_030926.1,Jasmine virus C,Quinvirinae,Betaflexiviridae
NC_031089.1,Ligustrum virus A,Quinvirinae,Betaflexiviridae
NC_006550.1,Sweet potato chlorotic fleck virus,Quinvirinae,Betaflexiviridae
NC_007289.1,Potato virus S,Quinvirinae,Betaflexiviridae
NC_008020.1,Daphne virus S,Quinvirinae,Betaflexiviridae
NC_008266.1,Narcissus common latent virus,Quinvirinae,Betaflexiviridae
NC_008292.1,Passiflora latent virus,Quinvirinae,Betaflexiviridae
NC_008552.1,Narcissus symptomless virus,Quinvirinae,Betaflexiviridae
NC_009087.2,Chrysanthemum virus B,Quinvirinae,Betaflexiviridae
NC_009383.1,Phlox virus S,Quinvirinae,Betaflexiviridae
NC_009759.1,Potato virus P,Quinvirinae,Betaflexiviridae
NC_009764.1,Coleus vein necrosis virus,Quinvirinae,Betaflexiviridae
NC_009892.1,Peach chlorotic mottle virus,Quinvirinae,Betaflexiviridae
NC_009991.1,Phlox virus B,Quinvirinae,Betaflexiviridae
NC_010305.1,Ligustrum necrotic ringspot virus,Quinvirinae,Betaflexiviridae
NC_010538.1,Hop mosaic virus,Quinvirinae,Betaflexiviridae
NC_011525.1,Potato latent virus,Quinvirinae,Betaflexiviridae
NC_011540.1,Hippeastrum latent virus,Quinvirinae,Betaflexiviridae
NC_012038.1,Helleborus net necrosis virus,Quinvirinae,Betaflexiviridae
NC_012210.1,Red clover vein mosaic virus,Quinvirinae,Betaflexiviridae
NC_012519.1,Robigovirus elaeis,Quinvirinae,Betaflexiviridae
NC_012869.1,Hydrangea chlorotic mottle virus,Quinvirinae,Betaflexiviridae
NC_013006.1,Kalanchoe latent virus,Quinvirinae,Betaflexiviridae
NC_013527.1,Butterbur mosaic virus,Quinvirinae,Betaflexiviridae
NC_014730.1,Cowpea mild mottle virus,Quinvirinae,Betaflexiviridae
NC_014821.1,Foveavirus latensarmeniacae,Quinvirinae,Betaflexiviridae
NC_016080.1,Mirabilis jalapa mottle virus,Quinvirinae,Betaflexiviridae
NC_016440.1,Garlic common latent virus,Quinvirinae,Betaflexiviridae
NC_017859.1,american hop latent virus,Quinvirinae,Betaflexiviridae
NC_001946.1,Cherry green ring mottle virus,Quinvirinae,Betaflexiviridae
NC_001948.1,Grapevine rupestris stem pitting-associated virus,Quinvirinae,Betaflexiviridae
NC_002468.1,Cherry necrotic rusty mottle virus,Quinvirinae,Betaflexiviridae
NC_002552.1,Hop latent virus,Quinvirinae,Betaflexiviridae
NC_002729.1,Banana mild mosaic virus,Quinvirinae,Betaflexiviridae
NC_002795.1,Carlavirus latensaconiti,Quinvirinae,Betaflexiviridae
NC_003462.2,Foveavirus mali,Quinvirinae,Betaflexiviridae
NC_003499.1,Blueberry scorch virus,Quinvirinae,Betaflexiviridae
NC_003557.1,Garlic latent virus,Quinvirinae,Betaflexiviridae
NC_003870.1,Sugarcane striate mosaic-associated virus,Quinvirinae,Betaflexiviridae
NC_005138.1,Lily symptomless virus,Quinvirinae,Betaflexiviridae
NC_005343.1,Poplar mosaic virus,Quinvirinae,Betaflexiviridae
NC_001361.2,Potato virus M,Quinvirinae,Betaflexiviridae
NC_035674.1,Australian Anopheles totivirus,Insevirus,Inseviridae
NC_040633.1,Sogatella furcifera totivirus 1,Insevirus,Inseviridae
NC_040704.1,Sogatella furcifera totivirus 2,Insevirus,Inseviridae
NC_029312.1,Camponotus nipponicus virus,Insevirus,Inseviridae
NC_032746.1,Beihai uca arcuata virus 1,Insevirus,Inseviridae
NC_032831.1,Hubei toti-like virus 12,Insevirus,Inseviridae
NC_032878.1,Hubei toti-like virus 13,Insevirus,Inseviridae
NC_032919.1,Hubei toti-like virus 15,Insevirus,Inseviridae
NC_032938.1,Hubei toti-like virus 24,Insevirus,Inseviridae
NC_033719.1,Xingshan nematode virus 6,Insevirus,Inseviridae
NC_078625.1,Pineapple secovirus A,Sadwavirus,Secoviridae
NC_078766.1,Lettuce secovirus 1,Sadwavirus,Secoviridae
NC_079041.1,surrounding non-legume associated virus,Sadwavirus,Secoviridae
NC_079071.1,pineapple secovirus B,Sadwavirus,Secoviridae
NC_008182.1,Black raspberry necrosis virus,Sadwavirus,Secoviridae
NC_016443.1,Chocolate lily virus A,Sadwavirus,Secoviridae
NC_003445.1,Strawberry mottle virus,Sadwavirus,Secoviridae
NC_003785.2,Satsuma dwarf virus,Sadwavirus,Secoviridae
